log_volume,percentage_of_total_volume
2.0423178005353875,5.2261722748767112e-05
2.0433741276138875,5.24472254441203e-05
2.0444250138831483,5.2633179978925042e-05
2.0453667659831658,5.2819607720383928e-05
2.046531556921575,5.30064409362968e-05
2.0476786436032346,5.3193778664394929e-05
2.0488982176801347,5.3381631944438709e-05
2.0499491969051142,5.3569961330529566e-05
2.0511525224473814,5.3768686037545908e-05
2.0522874382848313,5.3948113541123483e-05
2.05334214542083,5.4137947230290515e-05
2.0545155379877373,5.4328257474992145e-05
2.0556436363645374,5.4519069713144414e-05
2.0567404207030013,5.4710375129235817e-05
2.0577665238487839,5.4902122086480469e-05
2.0589802995845039,5.5094386824853939e-05
2.0602293843523443,5.52872032940655e-05
2.0609781568214927,5.5480472884081249e-05
2.0622061098903064,5.5674151162725921e-05
2.063442744593234,5.58683943684702e-05
2.0644579892269186,5.607103129583877e-05
2.0657157213326212,5.6258414622432392e-05
2.0669381284714383,5.645423358396265e-05
2.0681487409732937,5.667118493237276e-05
2.0691432527887548,5.6847416253890019e-05
2.0704615128447368,5.7044814014847015e-05
2.071587750419742,5.7242741492742835e-05
2.072719167441277,5.7441181763118941e-05
2.0739960304420992,5.7640199447115118e-05
2.0750272233716931,5.78397520314663e-05
2.0758585380036032,5.8039726610773019e-05
2.0770504563108445,5.8240160547560196e-05
2.0781960180662753,5.8441146321010956e-05
2.079074103241032,5.864260719194707e-05
2.0791812460476247,5.9061835751182773e-05
2.0791812460476247,5.9061835751182773e-05
2.0800924743094935,5.9247879387637488e-05
2.0811229760278538,5.945023136407797e-05
2.082287631378775,5.9653091569408129e-05
2.0831407075050725,5.9856443041293306e-05
2.0843079905390249,6.0060281346828712e-05
2.0853297700219815,6.02645969162797e-05
2.0863710794681074,6.04694343492452e-05
2.0876418995882817,6.0674800498986388e-05
2.0887750311097997,6.0880731464933579e-05
2.0899051114393981,6.1097818027503918e-05
2.0910090220283566,6.1294208025106445e-05
2.0922114780805732,6.1501762452573807e-05
2.0931386395846143,6.1709826537674839e-05
2.0942472223496331,6.1918360129136e-05
2.0954390116617345,6.2127462066154243e-05
2.0965726679923744,6.233713275224661e-05
2.0969100130080562,6.2666344026621684e-05
2.0972610555105673,6.275733712545194e-05
2.0983887876243266,6.2967879528325342e-05
2.0996384144474893,6.3179011920142159e-05
